SourceCity,DestinationCity,Distance
Ramallah,Jerusalem,22
Ramallah,Nablus,51
Ramallah,Hebron,52
Ramallah,Jericho,42
Ramallah,Qalqilya,66
Ramallah,Salfit,41
Ramallah,Al-Bireh,3
Nablus,Ramallah,51
Nablus,Qalqilya,32
Nablus,Tulkarm,28
Nablus,Jenin,43
Nablus,Jericho,68
Nablus,Tubas,21
Tulkarm,Tubas,42
Tulkarm,Acre,93
Tulkarm,Qalqilya,18
Tulkarm,Haifa,79
Tulkarm,Jenin,30
Jerusalem,Jericho,35
Jerusalem,Bethlehem,9
Jerusalem,Ramallah,18
Jerusalem,Hebron,36
Jerusalem,Qalqilya,75
Hebron,Jerusalem,36
Hebron,Ramallah,52
Hebron,Salfit,91
Hebron,Bethlehem,27
Hebron,Qalqilya,75
Jericho,Ramallah,42
Jericho,Jerusalem,35
Jericho,Jenin,112
Jericho,Salfit,53
Jenin,Tulkarm,30
Jenin,Nablus,43
Jenin,Tubas,22
Jenin,Jericho,112
Jenin,Salfit,72
Jenin,Haifa,61
Jenin,Acre,75
Qalqilya,Ramallah,32
Qalqilya,Beitunia,67
Qalqilya,Nablus,32
Qalqilya,Jerusalem,75
Qalqilya,Hebron,75
Qalqilya,Tubas,63
Qalqilya,Tulkarm,18
Qalqilya,Bethlehem,87
Al-Bireh,Ramallah,3
Al-Bireh,Salfit,46
Haifa,Tulkarm,79
Haifa,Acre,26
Haifa,Jenin,61
Beitunia,Ramallah,4
Beitunia,Qalqilya,67
Salfit,Ramallah,41
Salfit,Hebron,91
Salfit,Jericho,53
Salfit,Jenin,72
Salfit,Al-Bireh,46
Acre,Haifa,26
Acre,Tulkarm,93
Acre,Jenin,75
Tubas,Jenin,22
Tubas,Nablus,21
Tubas,Tulkarm,42
Tubas,Qalqilya,63
Bethlehem,Qalqilya,87
Bethlehem,Hebron,27
Bethlehem,Jerusalem,9
