Jerusalem,Bethlehem,10
Jerusalem,Ramallah,21
Jerusalem,Jericho,40
Jerusalem,Qalqilya,80
Ramallah,Al-Bireh,3
Ramallah,Beitunia,4
Ramallah,Jerusalem,22
Nablus,Salfit,50
Nablus,Al-Bireh,79
Nablus,Jericho,115
Nablus,Qalqilya,63
Nablus,Tulkarm,41
Nablus,Tubas,22
Nablus,Jenin,44
Tulkarm,Qalqilya,36
Tulkarm,Nablus,36
Tulkarm,Tubas,51
Tulkarm,Jenin,50
Tulkarm,Haifa,83
Hebron,Bethlehem,38
Jericho,Al-Bireh,50
Jericho,Jerusalem,44
Jericho,Salfit,83
Jericho,Nablus,111
Jenin,Tubas,21
Jenin,Nablus,44
Jenin,Tulkarm,62
Jenin,Haifa,61
Jenin,Acre,74
Qalqilya,Tulkarm,55
Qalqilya,Salfit,53
Qalqilya,Nablus,47
Qalqilya,Beitunia,67
Al-Bireh,Ramallah,3
Al-Bireh,Salfit,46
Al-Bireh,Jericho,58
Al-Bireh,Nablus,74
Haifa,Acre,25
Haifa,Jenin,61
Haifa,Tulkarm,83
Tubas,Tulkarm,60
Tubas,Nablus,21
Tubas,Jenin,21
Acre,Haifa,25
Acre,Jenin,74
Beitunia,Ramallah,4
Beitunia,Qalqilya,67
Salfit,Nablus,50
Salfit,Jericho,83
Salfit,Qalqilya,59
Salfit,Al-Bireh,46
Bethlehem,Jerusalem,9
Bethlehem,Hebron,38
